iter	Passed	Remaining
0	180	179842
1	181	90611
2	182	60804
3	184	45847
4	185	36892
5	186	30896
6	187	26609
7	188	23386
8	189	20881
9	190	18894
10	191	17251
11	192	15888
12	194	14730
13	195	13769
14	196	12920
15	197	12158
16	198	11486
17	199	10886
18	200	10345
19	201	9856
20	201	9412
21	202	9013
22	203	8649
23	204	8308
24	204	7992
25	205	7702
26	206	7430
27	206	7176
28	207	6939
29	207	6718
30	208	6510
31	208	6316
32	209	6134
33	209	5962
34	210	5800
35	210	5647
36	211	5505
37	212	5368
38	212	5240
39	213	5116
40	213	4998
41	214	4887
42	214	4780
43	215	4677
44	215	4579
45	216	4488
46	217	4402
47	217	4321
48	218	4241
49	219	4162
50	219	4087
51	220	4012
52	220	3945
53	221	3879
54	222	3815
55	222	3755
56	223	3695
57	223	3637
58	224	3583
59	225	3529
60	225	3476
61	226	3426
62	227	3377
63	227	3332
64	228	3286
65	229	3241
66	229	3199
67	229	3152
68	230	3110
69	231	3071
70	231	3034
71	232	2996
72	232	2958
73	233	2921
74	233	2885
75	234	2852
76	235	2820
77	235	2788
78	236	2757
79	237	2727
80	237	2699
81	238	2669
82	239	2641
83	239	2613
84	240	2584
85	240	2557
86	241	2529
87	241	2504
88	242	2480
89	242	2456
90	243	2433
91	244	2409
92	244	2386
93	245	2363
94	245	2341
95	246	2320
96	246	2299
97	247	2278
98	248	2258
99	248	2239
100	249	2220
101	249	2198
102	250	2179
103	251	2162
104	251	2144
105	252	2127
106	252	2109
107	253	2093
108	254	2076
109	254	2060
110	255	2044
111	255	2029
112	256	2014
113	257	1998
114	257	1983
115	258	1968
116	258	1954
117	259	1940
118	260	1925
119	260	1912
120	261	1898
121	261	1885
122	262	1869
123	262	1857
124	263	1844
125	264	1832
126	264	1819
127	265	1806
128	265	1794
129	266	1783
130	267	1771
131	267	1760
132	268	1749
133	268	1738
134	269	1727
135	270	1717
136	271	1707
137	271	1696
138	272	1686
139	272	1676
140	273	1667
141	274	1658
142	275	1649
143	276	1641
144	276	1632
145	277	1622
146	278	1614
147	279	1606
148	279	1597
149	280	1589
150	281	1580
151	281	1572
152	282	1564
153	283	1556
154	283	1548
155	284	1540
156	285	1532
157	286	1525
158	286	1517
159	287	1509
160	288	1502
161	289	1495
162	289	1487
163	290	1480
164	291	1473
165	291	1466
166	292	1459
167	293	1452
168	294	1445
169	294	1439
170	295	1432
171	296	1425
172	296	1419
173	297	1412
174	298	1406
175	299	1400
176	299	1393
177	300	1387
178	301	1381
179	302	1377
180	302	1369
181	303	1363
182	304	1357
183	304	1351
184	305	1346
185	306	1340
186	307	1334
187	307	1329
188	308	1323
189	309	1317
190	309	1312
191	310	1307
192	311	1302
193	312	1297
194	312	1291
195	313	1286
196	314	1281
197	315	1276
198	315	1270
199	316	1266
200	317	1261
201	318	1256
202	318	1251
203	319	1246
204	320	1241
205	320	1237
206	321	1232
207	322	1227
208	323	1222
209	323	1218
210	324	1213
211	325	1209
212	326	1204
213	326	1200
214	327	1195
215	328	1190
216	328	1186
217	329	1182
218	330	1177
219	330	1173
220	331	1168
221	332	1164
222	333	1160
223	333	1155
224	334	1151
225	334	1147
226	335	1143
227	336	1139
228	337	1134
229	337	1130
230	338	1126
231	339	1122
232	339	1118
233	340	1114
234	341	1110
235	341	1106
236	342	1103
237	343	1099
238	344	1095
239	344	1091
240	345	1088
241	346	1084
242	347	1081
243	347	1077
244	348	1073
245	349	1070
246	349	1066
247	350	1063
248	351	1059
249	352	1056
250	352	1053
251	353	1049
252	354	1046
253	355	1043
254	355	1039
255	356	1036
256	357	1033
257	358	1029
258	359	1027
259	359	1024
260	360	1020
261	361	1017
262	362	1014
263	362	1011
264	363	1008
265	364	1005
266	365	1002
267	365	999
268	366	996
269	367	993
270	368	990
